City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Rajula,IN,9/27/2022 18:56,21.05,71.4333,77.94,77,6,5.3
136,Elbistan,TR,9/27/2022 18:56,38.2059,37.1983,67.64,31,63,3.27
137,Nalut,LY,9/27/2022 18:56,30.3333,10.85,88.09,20,46,9.13
138,Mahebourg,MU,9/27/2022 18:55,-20.4081,57.7,71.89,60,75,10.36
139,Inhambane,MZ,9/27/2022 18:54,-23.865,35.3833,77,94,75,10.36
140,Zhezkazgan,KZ,9/27/2022 18:56,47.8043,67.7144,50.59,50,7,7.45
141,Mao,ES,9/27/2022 18:56,39.8885,4.2658,70.36,68,40,5.75
142,Nyuksenitsa,RU,9/27/2022 18:56,60.4128,44.2397,41.13,93,100,7.67
143,Nouadhibou,MR,9/27/2022 18:56,20.931,-17.0347,84.18,65,100,12.66
144,Esna,EG,9/27/2022 18:56,25.2934,32.554,95.02,12,39,7.61
145,Belmonte,BR,9/27/2022 18:56,-15.8631,-38.8828,78.08,69,10,7.92
146,Kumbo,CM,9/27/2022 18:56,6.2,10.6667,59.85,96,100,2.98
147,Saint George,US,9/27/2022 18:56,37.1041,-113.5841,90.43,26,91,1.99
148,Padang,ID,9/27/2022 18:56,-0.9492,100.3543,75.43,89,48,3.74
149,Hare Bay,CA,9/27/2022 18:56,48.8499,-54.0148,69.19,81,100,11.97
150,Blagoyevo,RU,9/27/2022 18:56,63.3667,47.9167,31.33,77,99,5.17
151,Santa Cruz,BO,9/27/2022 18:56,-17.8,-63.1667,69.26,94,100,9.22
152,Yenagoa,NG,9/27/2022 18:56,4.9247,6.2642,73.11,97,100,4.34
153,Bengkulu,ID,9/27/2022 18:56,-3.8004,102.2655,75.78,87,100,1.39
154,Riohacha,CO,9/27/2022 18:56,11.5444,-72.9072,87.91,70,20,6.91
155,Scarborough,GB,9/27/2022 18:56,54.2797,-0.4044,47.79,84,100,1.99
156,Maraa,BR,9/27/2022 18:56,-1.8333,-65.3667,94.87,41,100,2.77
157,Tchollire,CM,9/27/2022 18:56,8.4022,14.1698,69.53,97,100,2.1
158,Ibitinga,BR,9/27/2022 18:56,-21.7578,-48.8289,81.16,54,100,9.82
159,Kruisfontein,ZA,9/27/2022 18:56,-34.0033,24.7314,63.88,95,100,14.81
160,Dikson,RU,9/27/2022 18:56,73.5069,80.5464,31.24,66,100,4.34
161,Sargatskoye,RU,9/27/2022 18:56,55.6101,73.4972,29.52,78,85,8.93
162,Usinsk,RU,9/27/2022 18:56,65.9939,57.5281,28.47,65,7,7.58
163,Roald,NO,9/27/2022 18:56,62.5833,6.1333,57.34,62,0,14.97
164,Nova Borova,UA,9/27/2022 18:56,50.693,28.6345,53.29,93,89,6.04
165,Codrington,AU,9/27/2022 18:56,-38.2667,141.9667,52.03,88,99,13.18
166,Baghdad,IQ,9/27/2022 18:56,33.3406,44.4009,76.91,20,0,2.3
167,Los Llanos De Aridane,ES,9/27/2022 18:56,28.6585,-17.9182,68.13,84,75,15.01
168,Hosur,IN,9/27/2022 18:56,12.7167,77.8167,76.91,70,91,6.53
169,Axim,GH,9/27/2022 18:56,4.8699,-2.2405,76.01,89,55,7.27
170,Pichayevo,RU,9/27/2022 18:56,53.2363,42.2032,49.87,93,100,13.98
171,Vilhena,BR,9/27/2022 18:56,-12.7406,-60.1458,73.62,83,40,8.05
172,Venezuela,VE,9/27/2022 18:55,8,-66,91.96,50,100,2.82
173,Mikhaylovka,RU,9/27/2022 18:56,50.06,43.2379,63.79,64,100,10.92
174,Bandarbeyla,SO,9/27/2022 18:56,9.4942,50.8122,78.15,83,100,17.63
