City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Pisco,PE,-13.7,-76.2167,60.03,82,0,13.8,clear sky
213,Manturovo,RU,58.3353,44.7619,45.88,93,100,9.95,overcast clouds
214,Ponta Pora,BR,-22.5361,-55.7256,61.2,93,100,9.4,overcast clouds
215,Villa Florida,PY,-26.3833,-57.15,59.05,86,36,6.06,scattered clouds
216,Cabedelo,BR,-6.9811,-34.8339,77.67,87,26,9.24,scattered clouds
217,Glogow,PL,51.6636,16.0845,48.52,72,8,3.87,clear sky
218,Am Timan,TD,11.0297,20.2827,70.52,87,100,3.51,overcast clouds
219,Macau,MO,22.2006,113.5461,85.86,83,40,10.36,scattered clouds
220,Remedios,CU,22.4947,-79.5458,78.17,79,32,8.1,scattered clouds
221,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.78,69,53,1.36,light rain
222,Sarh,TD,9.1429,18.3923,69.69,97,100,1.74,overcast clouds
223,Urengoy,RU,65.9667,78.3667,32.23,95,100,14.56,light snow
224,Adrar,MR,20.5022,-10.0711,87.8,19,0,8.39,clear sky
225,Lasa,IT,46.6166,10.7002,54.48,80,42,2.62,scattered clouds
226,Rio Gallegos,AR,-51.6226,-69.2181,48.25,37,0,12.66,clear sky
227,Pergamino,AR,-33.89,-60.5736,56.91,52,3,1.99,clear sky
228,Longonjo,AO,-12.9067,15.2533,66.6,75,100,1.5,overcast clouds
229,Danville,US,36.586,-79.395,62.87,84,0,1.01,clear sky
230,Ongole,IN,15.5,80.05,76.59,86,96,6.6,overcast clouds
231,Fonte Boa,BR,-2.4959,-66.2662,81.21,65,18,1.68,few clouds
232,Bluefield,US,37.2698,-81.2223,54.16,79,0,3.44,clear sky
233,Henties Bay,NA,-22.116,14.2845,53.67,93,3,4.68,clear sky
234,Grindavik,IS,63.8424,-22.4338,39.67,75,40,24.16,scattered clouds
235,Lebu,CL,-37.6167,-73.65,52.68,96,100,9.33,overcast clouds
236,Chambas,CU,22.1928,-78.9136,75.74,81,9,5.7,clear sky
237,Tefe,BR,-3.3542,-64.7114,83.57,55,90,1.74,overcast clouds
238,Breves,BR,-1.6822,-50.4803,79.74,69,16,6.31,few clouds
239,Talnakh,RU,69.4865,88.3972,21.67,97,100,9.46,overcast clouds
240,Bubaque,GW,11.2833,-15.8333,81.27,71,5,6.8,clear sky
241,Krasnoselkup,RU,65.7,82.4667,30.09,89,100,12.64,overcast clouds
242,Cidreira,BR,-30.1811,-50.2056,64.18,94,100,11.81,moderate rain
243,Yei,SS,4.095,30.6779,65.75,94,100,0.56,overcast clouds
244,Tabas,IR,33.5959,56.9244,64.8,6,0,2.98,clear sky
245,Meulaboh,ID,4.1363,96.1285,74.62,93,100,4.72,overcast clouds
246,Kavaratti,IN,10.5669,72.642,81.07,74,89,12.8,overcast clouds
247,Roald,NO,62.5833,6.1333,52.75,71,100,19.57,moderate rain
248,Sisimiut,GL,66.9395,-53.6735,29.17,88,100,6.31,overcast clouds
249,Marzuq,YE,14.4,46.4667,70.45,48,77,1.74,broken clouds
250,El Alto,PE,-4.2714,-81.2147,61.54,86,50,14.23,scattered clouds
251,Narsaq,GL,60.9167,-46.05,26.47,75,100,6.6,overcast clouds
252,Antofagasta,CL,-23.65,-70.4,56.48,63,36,3.8,scattered clouds
253,Marawi,PH,7.9986,124.2928,80.42,65,13,1.32,few clouds
254,Ambanja,MG,-13.6833,48.45,70.23,80,13,2.93,few clouds
255,Saint-Paul,RE,-21.0096,55.2707,69.89,80,49,1.19,scattered clouds
256,Inhambane,MZ,-23.865,35.3833,70.07,88,0,8.43,clear sky
257,Rurrenabaque,BO,-14.4413,-67.5278,79.7,67,91,0.38,overcast clouds
258,Acari,PE,-15.4311,-74.6158,65.12,72,11,3.58,few clouds
259,Manisa,TR,38.8333,28.1667,52.02,85,54,6.15,broken clouds
260,Najran,SA,17.4924,44.1277,75.85,27,98,3.47,overcast clouds
261,Goure,NE,13.9835,10.2704,81.01,50,69,5.08,broken clouds
262,Nadvoitsy,RU,63.8667,34.3167,47.55,80,100,14.32,overcast clouds
263,Cayenne,GF,4.9333,-52.3333,80.64,78,0,4.61,clear sky
264,Glyadyanskoye,RU,54.9075,65.0883,47.32,31,100,6.49,overcast clouds
265,Nevers,FR,46.9167,3.3333,51.01,87,100,2.3,overcast clouds
266,Westport,US,41.1415,-73.3579,64.17,78,0,1.01,clear sky
267,Les Cayes,HT,18.2,-73.75,79.5,82,99,1.57,overcast clouds
268,Khartoum,SD,15.5518,32.5324,85.01,62,19,1.01,few clouds
269,Makinsk,KZ,52.6292,70.4169,45.9,61,98,8.16,overcast clouds
270,Bongandanga,CD,1.5,21.05,68.97,98,100,2.46,overcast clouds
271,Luanda,AO,-8.8368,13.2343,74.75,85,100,12.46,overcast clouds
272,Saldanha,ZA,-33.0117,17.9442,50.05,76,0,10.71,clear sky
273,Padang,ID,-0.9492,100.3543,73.45,88,100,2.3,light rain
274,Limon,CR,10.0,-83.0333,80.49,83,0,0.0,clear sky
275,Bahia Honda,CU,22.9036,-83.1592,77.05,83,8,7.9,clear sky
276,Boa Vista,BR,2.8197,-60.6733,82.38,65,0,4.61,clear sky
277,Nizwa,OM,22.9333,57.5333,76.06,35,0,1.14,clear sky
278,Quatre Cocos,MU,-20.2078,57.7625,69.1,73,58,15.55,broken clouds
279,Margate,GB,51.3813,1.3862,57.31,89,8,1.99,clear sky
280,Caucaia,BR,-3.7361,-38.6531,79.03,78,20,6.91,few clouds
281,Severodvinsk,RU,64.5635,39.8302,44.71,88,100,16.06,heavy intensity rain
282,Calabar,NG,4.9517,8.322,72.95,98,100,4.18,moderate rain
283,Conakry,GN,9.538,-13.6773,79.29,78,11,4.9,few clouds
284,Savyntsi,UA,49.4026,37.0627,49.66,71,66,5.57,broken clouds
285,Port Shepstone,ZA,-30.7414,30.455,64.99,82,68,13.78,light rain
286,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,78,0,11.5,clear sky
287,Yahotyn,UA,50.2798,31.7625,52.52,90,97,6.2,overcast clouds
288,Ruyigi,BI,-3.45,30.3167,63.63,63,83,2.42,broken clouds
289,Forestville,US,38.8451,-76.875,64.63,88,0,0.0,clear sky
290,Usogorsk,RU,63.4106,48.6872,44.89,90,100,11.65,overcast clouds
291,Araouane,ML,18.9048,-3.5265,91.98,15,5,4.47,clear sky
292,Andenes,NO,69.3143,16.1194,46.38,76,100,25.32,light rain
